Year,Borough,Gender,Age,Race,HIV diagnoses,HIV diagnosis rate,AIDS diagnoses,AIDS diagnosis rate,Deaths
2011,All,All,All,All,3379.0,48.3,2366.0,33.8,2040
2011,All,Male,All,All,2595.0,79.1,1712.0,52.2,1423
2011,All,Female,All,All,733.0,21.1,622.0,17.6,605
2011,All,All,All,All,51.0,99999.0,32.0,99999.0,12
2011,All,Female,13 - 17,All,47.0,13.6,22.0,6.4,1
2011,All,Female,18 - 29,All,178.0,24.7,96.0,13.3,19
2011,All,Female,30 - 39,All,176.0,26.9,133.0,20.3,53
2011,All,Female,40 - 49,All,195.0,33.0,210.0,35.5,184
2011,All,Female,50 - 59,All,130.0,23.5,133.0,24.0,231
2011,All,Female,60+,All,57.0,6.7,60.0,7.1,129
2011,All,Female,All,Asian/Pacific Islander,11.0,2.2,8.0,1.6,7
2011,All,Female,All,Black,488.0,54.3,421.0,46.9,354
2011,All,Female,All,Latino/Hispanic,232.0,23.1,191.0,19.0,200
2011,All,Female,All,Other/Unknown,2.0,3.4,1.0,1.7,2
2011,All,Female,All,White,50.0,4.0,33.0,2.6,54
2011,All,Male,13 - 17,All,140.0,39.4,33.0,9.3,1
2011,All,Male,18 - 29,All,957.0,142.1,370.0,54.9,47
2011,All,Male,30 - 39,All,649.0,105.4,405.0,65.7,90
2011,All,Male,40 - 49,All,517.0,93.9,506.0,91.9,354
2011,All,Male,50 - 59,All,253.0,52.2,305.0,62.9,505
2011,All,Male,60+,All,80.0,13.3,93.0,15.5,426
2011,All,Male,All,Asian/Pacific Islander,97.0,21.4,42.0,9.3,13
2011,All,Male,All,Black,1042.0,148.9,822.0,117.5,649
2011,All,Male,All,Latino/Hispanic,848.0,92.0,570.0,61.8,479
2011,All,Male,All,Other/Unknown,10.0,20.8,4.0,8.3,6
2011,All,Male,All,White,599.0,51.7,274.0,23.6,276
2011,Bronx,All,All,All,627.0,55.3,568.0,50.1,513
2011,Bronx,Female,13 - 17,All,18.0,24.5,10.0,13.6,0
2011,Bronx,Female,18 - 29,All,46.0,39.9,23.0,19.9,8
2011,Bronx,Female,30 - 39,All,53.0,51.7,39.0,38.0,20
2011,Bronx,Female,40 - 49,All,52.0,49.7,73.0,69.8,62
2011,Bronx,Female,50 - 59,All,30.0,32.9,42.0,46.1,56
2011,Bronx,Female,60+,All,14.0,10.8,16.0,12.4,32
2011,Bronx,Female,All,All,213.0,34.5,203.0,32.9,178
2011,Bronx,Female,All,Asian/Pacific Islander,0.0,0.0,0.0,0.0,3
2011,Bronx,Female,All,Black,119.0,61.9,111.0,57.8,91
2011,Bronx,Female,All,Latino/Hispanic,87.0,26.7,84.0,25.8,77
2011,Bronx,Female,All,Other/Unknown,0.0,0.0,1.0,14.4,1
2011,Bronx,Female,All,White,7.0,10.1,7.0,10.1,6
2011,Bronx,Male,13 - 17,All,23.0,30.0,8.0,10.4,0
2011,Bronx,Male,18 - 29,All,145.0,135.1,68.0,63.3,9
2011,Bronx,Male,30 - 39,All,103.0,120.4,79.0,92.3,20
2011,Bronx,Male,40 - 49,All,86.0,98.5,107.0,122.6,78
2011,Bronx,Male,50 - 59,All,41.0,55.2,74.0,99.5,137
2011,Bronx,Male,60+,All,16.0,18.8,29.0,34.0,91
2011,Bronx,Male,All,All,414.0,80.2,365.0,70.7,335
2011,Bronx,Male,All,Asian/Pacific Islander,5.0,23.6,2.0,9.4,3
2011,Bronx,Male,All,Black,174.0,115.0,156.0,103.1,145
2011,Bronx,Male,All,Latino/Hispanic,211.0,77.0,191.0,69.7,166
2011,Bronx,Male,All,Other/Unknown,2.0,36.1,0.0,0.0,2
2011,Bronx,Male,All,White,22.0,34.1,16.0,24.8,19
2011,Bronx,All,All,All,99.0,60.6,101.0,61.8,99
